id,hex,rgb,hsl
1,#001858,"RGB(0, 24, 88)","HSL(224, 100%, 17.3%)"
2,#F3D2C1,"RGB(243, 210, 193)","HSL(20, 67.6%, 85.5%)"
3,#FEF6E4,"RGB(254, 246, 228)","HSL(42, 92.9%, 94.5%)"
4,#8BD3DD,"RGB(139, 211, 221)","HSL(187, 54.7%, 70.6%)"
5,#F582AE,"RGB(245, 130, 174)","HSL(337, 85.2%, 73.5%)"
6,#140D0B,"RGB(20, 13, 11)","HSL(13, 29%, 6.1%)"
7,#FFF3EC,"RGB(255, 243, 236)","HSL(22, 100%, 96.3%)"
8,#E78FB3,"RGB(231, 143, 179)","HSL(335, 64.7%, 73.3%)"
9,#FFC0AD,"RGB(255, 192, 173)","HSL(14, 100%, 83.9%)"
10,#9656A1,"RGB(150, 86, 161)","HSL(291, 30.4%, 48.4%)"
11,#33272A,"RGB(51, 39, 42)","HSL(345, 13.3%, 17.6%)"
12,#FFFFFE,"RGB(255, 255, 254)","HSL(60, 100%, 99.8%)"
13,#FF8BA7,"RGB(255, 139, 167)","HSL(346, 100%, 77.3%)"
14,#FFC6C7,"RGB(255, 198, 199)","HSL(359, 100%, 88.8%)"
15,#C3F0CA,"RGB(195, 240, 202)","HSL(129, 60%, 85.3%)"
16,#272343,"RGB(39, 35, 67)","HSL(248, 31.4%, 20%)"
17,#FFD803,"RGB(255, 216, 3)","HSL(51, 100%, 50.6%)"
18,#E3F6F5,"RGB(227, 246, 245)","HSL(177, 51.4%, 92.7%)"
19,#BAE8E8,"RGB(186, 232, 232)","HSL(180, 50%, 82%)"
20,#000000,"RGB(0, 0, 0)","HSL(0, 0%, 0%)"
21,#FF8906,"RGB(255, 137, 6)","HSL(32, 100%, 51.2%)"
22,#F25F4C,"RGB(242, 95, 76)","HSL(7, 86.5%, 62.4%)"
23,#E53170,"RGB(229, 49, 112)","HSL(339, 77.6%, 54.5%)"
24,#121629,"RGB(18, 22, 41)","HSL(230, 39%, 11.6%)"
25,#B8C1EC,"RGB(184, 193, 236)","HSL(230, 57.8%, 82.4%)"
26,#EEBBC3,"RGB(238, 187, 195)","HSL(351, 60%, 83.3%)"
27,#020826,"RGB(2, 8, 38)","HSL(230, 90%, 7.8%)"
28,#8C7851,"RGB(140, 120, 81)","HSL(40, 26.7%, 43.3%)"
29,#EADDCF,"RGB(234, 221, 207)","HSL(31, 39.1%, 86.5%)"
30,#F25042,"RGB(242, 80, 66)","HSL(5, 87.1%, 60.4%)"
31,#001E1D,"RGB(0, 30, 29)","HSL(178, 100%, 5.9%)"
32,#E8E4E6,"RGB(232, 228, 230)","HSL(330, 8%, 90.2%)"
33,#F9BC60,"RGB(249, 188, 96)","HSL(36, 92.7%, 67.6%)"
34,#ABD1C6,"RGB(171, 209, 198)","HSL(163, 29.2%, 74.5%)"
35,#E16162,"RGB(225, 97, 98)","HSL(0, 68.1%, 63.1%)"
36,#0D0D0D,"RGB(13, 13, 13)","HSL(0, 0%, 5.1%)"
37,#EFF0F3,"RGB(239, 240, 243)","HSL(225, 14.3%, 94.5%)"
38,#FF8E3C,"RGB(255, 142, 60)","HSL(25, 100%, 61.8%)"
39,#D9376E,"RGB(217, 55, 110)","HSL(340, 68.1%, 53.3%)"
40,#232323,"RGB(35, 35, 35)","HSL(0, 0%, 13.7%)"
41,#078080,"RGB(7, 128, 128)","HSL(180, 89.6%, 26.5%)"
42,#F45D48,"RGB(244, 93, 72)","HSL(7, 88.7%, 62%)"
43,#F8F5F2,"RGB(248, 245, 242)","HSL(30, 30%, 96.1%)"
44,#0E172C,"RGB(14, 23, 44)","HSL(222, 51.7%, 11.4%)"
45,#F9F8FC,"RGB(249, 248, 252)","HSL(255, 40%, 98%)"
46,#FEC7D7,"RGB(254, 199, 215)","HSL(343, 96.5%, 88.8%)"
47,#D9D4E7,"RGB(217, 212, 231)","HSL(256, 28.4%, 86.9%)"
48,#A786DF,"RGB(167, 134, 223)","HSL(262, 58.2%, 70%)"
49,#2B2C34,"RGB(43, 44, 52)","HSL(233, 9.5%, 18.6%)"
50,#6246EA,"RGB(98, 70, 234)","HSL(250, 79.6%, 59.6%)"
51,#D1D1E9,"RGB(209, 209, 233)","HSL(240, 35.3%, 86.7%)"
52,#E45858,"RGB(228, 88, 88)","HSL(0, 72.2%, 62%)"
53,#00332C,"RGB(0, 51, 44)","HSL(172, 100%, 10%)"
54,#F2F7F5,"RGB(242, 247, 245)","HSL(156, 23.8%, 95.9%)"
55,#FAAE2B,"RGB(250, 174, 43)","HSL(38, 95.4%, 57.5%)"
56,#FFA8BA,"RGB(255, 168, 186)","HSL(348, 100%, 82.9%)"
57,#FA5246,"RGB(250, 82, 70)","HSL(4, 94.7%, 62.7%)"
58,#010101,"RGB(1, 1, 1)","HSL(0, 0%, 0.4%)"
59,#7F5AF0,"RGB(127, 90, 240)","HSL(255, 83.3%, 64.7%)"
60,#72757E,"RGB(114, 117, 126)","HSL(225, 5%, 47.1%)"
61,#2CB67D,"RGB(44, 182, 125)","HSL(155, 61.1%, 44.3%)"
62,#094067,"RGB(9, 64, 103)","HSL(205, 83.9%, 22%)"
63,#3DA9FC,"RGB(61, 169, 252)","HSL(206, 97%, 61.4%)"
64,#90B4CE,"RGB(144, 180, 206)","HSL(205, 38.8%, 68.6%)"
65,#EF4565,"RGB(239, 69, 101)","HSL(349, 84.2%, 60.4%)"
66,#00214D,"RGB(0, 33, 77)","HSL(214, 100%, 15.1%)"
67,#00EBC7,"RGB(0, 235, 199)","HSL(171, 100%, 46.1%)"
68,#FF5470,"RGB(255, 84, 112)","HSL(350, 100%, 66.5%)"
69,#FDE24F,"RGB(253, 226, 79)","HSL(51, 97.8%, 65.1%)"
70,#181818,"RGB(24, 24, 24)","HSL(0, 0%, 9.4%)"
71,#F2EEF5,"RGB(242, 238, 245)","HSL(274, 25.9%, 94.7%)"
72,#4FC4CF,"RGB(79, 196, 207)","HSL(185, 57.1%, 56.1%)"
73,#994FF3,"RGB(153, 79, 243)","HSL(267, 87.2%, 63.1%)"
74,#FBDD74,"RGB(251, 221, 116)","HSL(47, 94.4%, 72%)"